"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname","DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME","GEODB_OID","OBJECTID","MAP_SYMBOL","MAP_TYPE","LENGTH","SHAPE_AREA"
38,"Richmond",406,0,0,0,0,2147.5733760286,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Riverina",467,0,0,0,0,48988.422154114,"Riverina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Robertson",367,0,0,0,0,980.03104091367,"Robertson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Shortland",374,0,0,0,0,264.71447124779,"Shortland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Sydney",391,0,0,0,0,43.987546041943,"Sydney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Warringah",351,0,0,0,0,68.228120360877,"Warringah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Watson",399,0,0,0,0,47.483262096275,"Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Wentworth",350,0,0,0,0,37.652062892144,"Wentworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Werriwa",368,0,0,0,0,171.61810774423,"Werriwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Whitlam",390,0,0,0,0,1330.83873751,"Whitlam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
