"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"42","ACT",101,"Canberra",8773,"Holder",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1011,-1.15
"43","ACT",101,"Canberra",8774,"Hughes",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",707,-2.12
"44","ACT",101,"Canberra",8774,"Hughes",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1086,2.12
"45","ACT",101,"Canberra",8884,"Isabella Plains",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",844,1.55
"46","ACT",101,"Canberra",8884,"Isabella Plains",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1282,-1.55
"47","ACT",101,"Canberra",8776,"Kambah North",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",380,0.21
"48","ACT",101,"Canberra",8776,"Kambah North",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",551,-0.21
"49","ACT",101,"Canberra",8777,"Kambah South",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",856,1.02
"50","ACT",101,"Canberra",8777,"Kambah South",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1534,-1.02
"51","ACT",101,"Canberra",8778,"Kambah West",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1085,3.19
"52","ACT",101,"Canberra",8778,"Kambah West",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1511,-3.19
"53","ACT",101,"Canberra",8779,"Lyons",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",487,4.16
"54","ACT",101,"Canberra",8779,"Lyons",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",796,-4.16
"55","ACT",101,"Canberra",8780,"Mawson",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",962,0.94
"56","ACT",101,"Canberra",8780,"Mawson",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1219,-0.94
"57","ACT",101,"Canberra",8781,"Monash",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1004,0.64
"58","ACT",101,"Canberra",8781,"Monash",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1313,-0.64
"59","ACT",101,"Canberra",8782,"Narrabundah",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",589,2.03
"60","ACT",101,"Canberra",8782,"Narrabundah",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1019,-2.03
"61","ACT",101,"Canberra",65739,"Norfolk Island",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",38,2.42
"62","ACT",101,"Canberra",65739,"Norfolk Island",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",51,-2.42
"63","ACT",101,"Canberra",32706,"Norfolk Island PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",0,0
"64","ACT",101,"Canberra",32706,"Norfolk Island PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",0,0
"65","ACT",101,"Canberra",8783,"Oaks Estate",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",67,10.77
"66","ACT",101,"Canberra",8783,"Oaks Estate",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",107,-10.77
"67","ACT",101,"Canberra",65158,"Other Mobile Team 1",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",5,-10.42
"68","ACT",101,"Canberra",65158,"Other Mobile Team 1",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",11,10.42
"69","ACT",101,"Canberra",65741,"Parkes (Canberra)",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",438,-6.1
"70","ACT",101,"Canberra",65741,"Parkes (Canberra)",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",879,6.1
