"","DivisionID","DivisionNm","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","State","Total_Australian_Labor_Party_Votes_per_electorate","Average_Australian_Labor_Party_Percentage_in_electorate","Total_Liberal_National_Coalition_Votes_per_electorate","Average_Liberal_National_Coalition_Percentage_in_electorate","Total_2pp_votes_per_electorate"
"42",149,"Sydney",24530,"PLIBERSEK","Tanya",9,"Y","Y","ALP","Australian Labor Party","NSW",44127,64.4183673469388,23394,33.5408163265306,67521
"43",150,"Throsby",24624,"JONES","Stephen",5,"Y","Y","ALP","Australian Labor Party","NSW",42782,56.6715789473684,31121,43.3284210526316,73903
"44",151,"Warringah",23210,"ABBOTT","Tony",6,"Y","Y","LP","Liberal","NSW",25933,34.1648,48685,65.8352,74618
"45",152,"Wentworth",23199,"TURNBULL","Malcolm",3,"Y","Y","LP","Liberal","NSW",24030,33.1662,49456,64.8338,73486
"46",153,"Werriwa",24739,"FERGUSON","Laurie",5,"Y","Y","ALP","Australian Labor Party","NSW",34350,52.594,30781,47.406,65131
"47",155,"Bowman",23915,"LAMING","Andrew",2,"Y","Y","LNP","Liberal National Party of Queensland","QLD",30265,42.5823076923077,42858,54.8535897435897,73123
"48",156,"Brisbane",23789,"GAMBARO","Teresa",3,"Y","Y","LNP","Liberal National Party of Queensland","QLD",30835,46.0741304347826,36158,51.7519565217391,66993
"49",157,"Capricornia",23862,"LANDRY","Michelle",7,"Y","N","LNP","Liberal National Party of Queensland","QLD",35805,44.3354444444444,35641,46.7756666666667,71446
"50",158,"Dawson",23996,"CHRISTENSEN","George",2,"Y","Y","LNP","Liberal National Party of Queensland","QLD",31205,39.1625974025974,42222,55.6425974025974,73427
"51",159,"Fadden",23815,"ROBERT","Stuart",8,"Y","Y","LNP","Liberal National Party of Queensland","QLD",23222,38.1792682926829,41928,61.8207317073171,65150
"52",160,"Fairfax",23396,"PALMER","Clive Frederick",3,"Y","N","PUP","Palmer United Party","QLD",26657,37.9219565217391,43146,59.9041304347826,69803
"53",161,"Fisher",23794,"BROUGH","Mal",3,"Y","N","LNP","Liberal National Party of Queensland","QLD",26152,41.0754761904762,37783,56.5435714285714,63935
"54",162,"Forde",24479,"van MANEN","Bert",2,"Y","Y","LNP","Liberal National Party of Queensland","QLD",27794,44.8043902439024,32945,52.7565853658537,60739
"55",163,"Griffith",23744,"RUDD","Kevin",6,"Y","Y","ALP","Australian Labor Party","QLD",36406,53.9482,32133,44.0518,68539
"56",164,"Groom",23796,"MACFARLANE","Ian",4,"Y","Y","LNP","Liberal National Party of Queensland","QLD",24954,31.6046551724138,47489,68.3953448275862,72443
"57",165,"Herbert",23811,"JONES","Ewen",5,"Y","Y","LNP","Liberal National Party of Queensland","QLD",32306,45.036170212766,40872,52.8363829787234,73178
"58",166,"Hinkler",23837,"PITT","Keith",5,"Y","N","LNP","Liberal National Party of Queensland","QLD",29949,40.9875,43206,57.0894230769231,73155
"59",167,"Kennedy",24318,"KATTER","Bob",4,"Y","Y","KAP","Katter's Australian Party","QLD",23241,29.1078947368421,47065,63.3735338345865,70306
"60",168,"Leichhardt",23801,"ENTSCH","Warren",6,"Y","Y","LNP","Liberal National Party of Queensland","QLD",33386,44.5068571428571,41197,42.636,74583
"61",169,"Lilley",23721,"SWAN","Wayne",5,"Y","Y","ALP","Australian Labor Party","QLD",37550,49.8478846153846,35416,44.3828846153846,72966
"62",170,"Maranoa",24071,"SCOTT","Bruce",4,"Y","Y","LNP","Liberal National Party of Queensland","QLD",20511,23.5371511627907,49778,68.3233139534884,70289
"63",171,"Mcpherson",23826,"ANDREWS","Karen",5,"Y","Y","LNP","Liberal National Party of Queensland","QLD",25914,37.9688888888889,44033,62.0311111111111,69947
"64",172,"Moncrieff",24057,"CIOBO","Steven",3,"Y","Y","LNP","Liberal National Party of Queensland","QLD",20777,33.5159090909091,44021,66.4840909090909,64798
"65",173,"Moreton",23718,"PERRETT","Graham Douglas",1,"Y","Y","ALP","Australian Labor Party","QLD",33492,50.7216,31164,47.2784,64656
"66",174,"Oxley",23755,"RIPOLL","Bernie",7,"Y","Y","ALP","Australian Labor Party","QLD",33424,54.4521052631579,28597,42.9163157894737,62021
"67",175,"Petrie",23800,"HOWARTH","Luke",6,"Y","N","LNP","Liberal National Party of Queensland","QLD",32958,49.6213333333333,33674,50.3786666666667,66632
"68",176,"Rankin",23730,"CHALMERS","Jim",4,"Y","N","ALP","Australian Labor Party","QLD",37048,54.3316666666667,29458,43.2873809523809,66506
"69",177,"Ryan",23814,"PRENTICE","Jane",3,"Y","Y","LNP","Liberal National Party of Queensland","QLD",30219,40.6040909090909,42849,54.8504545454545,73068
"70",178,"Wide Bay",23822,"TRUSS","Warren",1,"Y","Y","LNP","Liberal National Party of Queensland","QLD",26406,34.4638888888889,44533,61.3695833333333,70939
"71",179,"Adelaide",23971,"ELLIS","Kate",2,"Y","Y","ALP","Australian Labor Party","SA",39584,54.0158461538462,33525,44.4458461538462,73109
"72",180,"Barker",23648,"PASIN","Tony",7,"Y","N","LP","Liberal","SA",26876,29.69125,53038,66.7373214285714,79914
"73",182,"Boothby",23820,"SOUTHCOTT","Andrew",2,"Y","Y","LP","Liberal","SA",33175,42.181568627451,44236,55.8576470588235,77411
"74",183,"Grey",23709,"RAMSEY","Rowan",5,"Y","Y","LP","Liberal","SA",28102,30.6442748091603,47051,64.775572519084,75153
"75",185,"Hindmarsh",23656,"WILLIAMS","Matt",2,"Y","N","LP","Liberal","SA",37083,48.6047368421053,39999,49.641052631579,77082
"76",186,"Kingston",24116,"RISHWORTH","Amanda",6,"Y","Y","ALP","Australian Labor Party","SA",45023,60.4570212765957,29799,37.4153191489362,74822
"77",187,"Makin",24108,"ZAPPIA","Tony",1,"Y","Y","ALP","Australian Labor Party","SA",42856,54.448,34680,43.3297777777778,77536
"78",188,"Mayo",23672,"BRIGGS","Jamie",5,"Y","Y","LP","Liberal","SA",28571,36.2867469879518,47664,60.0989156626506,76235
"79",189,"Port Adelaide",24121,"BUTLER","Mark",6,"Y","Y","ALP","Australian Labor Party","SA",49133,63.0240384615385,27075,35.0528846153846,76208
"80",190,"Sturt",23647,"PYNE","Christopher",1,"Y","Y","LP","Liberal","SA",29996,40.1568,45458,57.8432,75454
"81",191,"Wakefield",24198,"CHAMPION","Nick",6,"Y","Y","ALP","Australian Labor Party","SA",41478,49.6463636363636,35606,47.3233333333333,77084
"82",192,"Bass",23294,"NIKOLIC","Andrew",2,"Y","N","LP","Liberal","TAS",25941,45.0552631578947,30449,54.9447368421053,56390
"83",193,"Braddon",23270,"WHITELEY","Brett",5,"Y","N","LP","Liberal","TAS",27724,44.7974698795181,30324,53.9977108433735,58048
"84",194,"Denison",20881,"WILKIE","Andrew",2,"Y","Y","IND","Independent","TAS",31960,58.0209259259259,21766,40.1272222222222,53726
"85",195,"Franklin",23455,"COLLINS","Julie",1,"Y","Y","ALP","Australian Labor Party","TAS",31219,55.2250909090909,25321,44.7749090909091,56540
"86",196,"Lyons",23278,"HUTCHINSON","Eric",1,"Y","N","LP","Liberal","TAS",26463,45.7105,27776,53.2896,54239
"87",197,"Aston",23474,"TUDGE","Alan",4,"Y","Y","LP","Liberal","VIC",29519,42.43175,40751,57.56825,70270
"88",198,"Ballarat",23305,"KING","Catherine",10,"Y","Y","ALP","Australian Labor Party","VIC",43239,54.4327272727273,36029,45.5672727272727,79268
"89",199,"Batman",23296,"FEENEY","David",8,"Y","N","ALP","Australian Labor Party","VIC",49870,70.8258333333333,19274,29.1741666666667,69144
"90",200,"Bendigo",23318,"CHESTERS","Lisa",2,"Y","N","ALP","Australian Labor Party","VIC",39495,51.5125352112676,37155,47.079014084507,76650
"91",201,"Bruce",23317,"GRIFFIN","Alan",3,"Y","Y","ALP","Australian Labor Party","VIC",33971,52.1947619047619,31429,47.8052380952381,65400
"92",203,"Calwell",23299,"VAMVAKINOU","Maria",4,"Y","Y","ALP","Australian Labor Party","VIC",44590,63.84,24862,33.66,69452
"93",204,"Casey",23592,"SMITH","Tony",9,"Y","Y","LP","Liberal","VIC",30954,45.2465454545455,40594,54.7534545454545,71548
"94",205,"Chisholm",23311,"BURKE","Anna Elizabeth",2,"Y","Y","ALP","Australian Labor Party","VIC",33909,51.9182222222222,31033,48.0817777777778,64942
"95",207,"Corangamite",23526,"HENDERSON","Sarah",11,"Y","N","LP","Liberal","VIC",34486,45.1289393939394,40124,53.3559090909091,74610
"96",208,"Corio",23303,"MARLES","Richard",3,"Y","Y","ALP","Australian Labor Party","VIC",43796,58.626,31639,41.374,75435
