"ELECT_DIV","STATE","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME"
"Petrie","QLD",198,0,0,0,0,152.019,"PETRIE"
"Rankin","QLD",225,0,0,0,0,131.15,"RANKIN"
"Ryan","QLD",244,0,0,0,0,440.956,"RYAN"
"Wide Bay","QLD",310,0,0,0,0,14572.62,"WIDE BAY"
"Wright","QLD",250,0,0,0,0,7589.1,"Wright"
"Aston","VIC",191,0,0,0,0,99.0122,"Aston"
"Ballarat","VIC",274,0,0,0,0,4651.54,"Ballarat"
"Batman","VIC",265,0,0,0,0,65.6887,"Batman"
"Bendigo","VIC",284,0,0,0,0,6255,"Bendigo"
"Bruce","VIC",226,0,0,0,0,72.6115,"Bruce"
"Calwell","VIC",214,0,0,0,0,174.713,"Calwell"
"Casey","VIC",236,0,0,0,0,2337.34,"Casey"
"Chisholm","VIC",245,0,0,0,0,64.9781,"Chisholm"
"Corangamite","VIC",264,0,0,0,0,7623.95,"Corangamite"
"Corio","VIC",250,0,0,0,0,989.448,"Corio"
"Deakin","VIC",240,0,0,0,0,69.8003,"Deakin"
"Dunkley","VIC",241,0,0,0,0,139.996,"Dunkley"
"Flinders","VIC",328,0,0,0,0,1952.09,"Flinders"
"Gellibrand","VIC",270,0,0,0,0,101.639,"Gellibrand"
"Gippsland","VIC",286,0,0,0,0,33053.53,"Gippsland"
"Goldstein","VIC",232,0,0,0,0,50.4044,"Goldstein"
"Gorton","VIC",186,0,0,0,0,561.542,"Gorton"
"Higgins","VIC",279,0,0,0,0,39.868,"Higgins"
"Holt","VIC",209,0,0,0,0,131.215,"Holt"
"Hotham","VIC",221,0,0,0,0,75.0985,"Hotham"
"Indi","VIC",328,0,0,0,0,28567.01,"Indi"
"Isaacs","VIC",224,0,0,0,0,165.892,"Isaacs"
"Jagajaga","VIC",238,0,0,0,0,127.916,"Jagajaga"
"Kooyong","VIC",253,0,0,0,0,52.395,"Kooyong"
"La Trobe","VIC",228,0,0,0,0,561.995,"La Trobe"
"Lalor","VIC",206,0,0,0,0,545.638,"Lalor"
"Mallee","VIC",355,0,0,0,0,73878.68,"Mallee"
"Maribyrnong","VIC",248,0,0,0,0,72.5144,"Maribyrnong"
"McEwen","VIC",207,0,0,0,0,4592.08,"McEwen"
"Mcmillan","VIC",278,0,0,0,0,8357.86,"Mcmillan"
"Melbourne","VIC",344,0,0,0,0,46.3801,"Melbourne"
"Melbourne Ports","VIC",316,0,0,0,0,40.1226,"Melbourne Ports"
"Menzies","VIC",200,0,0,0,0,124.723,"Menzies"
"Murray","VIC",298,0,0,0,0,19500.27,"Murray"
"Scullin","VIC",202,0,0,0,0,169.081,"Scullin"
"Wannon","VIC",320,0,0,0,0,32046.77,"Wannon"
"Wills","VIC",276,0,0,0,0,56.8234,"Wills"
"Adelaide","SA",318,0,0,0,0,76.0074,"Adelaide"
"Barker","SA",343,0,0,0,0,63885.71,"Barker"
"Boothby","SA",281,0,0,0,0,129.682,"Boothby"
"Grey","SA",429,0,0,0,0,904881.23,"Grey"
"Hindmarsh","SA",322,0,0,0,0,77.5908,"Hindmarsh"
"Kingston","SA",229,0,0,0,0,170.572,"Kingston"
"Makin","SA",232,0,0,0,0,130.08,"Makin"
"Mayo","SA",276,0,0,0,0,9314.65,"Mayo"
"Port Adelaide","SA",299,0,0,0,0,180.645,"Port Adelaide"
"Sturt","SA",255,0,0,0,0,85.3432,"Sturt"
"Wakefield","SA",277,0,0,0,0,6407.12,"Wakefield"
