2013 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:17496 Phase:FinalResults Generated:2014-10-28T11:22:52 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,218,Indi,4077,Moyhu,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,194,58.08
VIC,218,Indi,4078,Mudgegonga,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,96,51.06
VIC,218,Indi,4078,Mudgegonga,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,92,48.94
VIC,218,Indi,4080,Myrrhee,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,49,57.65
VIC,218,Indi,4080,Myrrhee,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,36,42.35
VIC,218,Indi,4081,Myrtleford,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,846,48.96
VIC,218,Indi,4081,Myrtleford,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,882,51.04
VIC,218,Indi,4901,Narbethong,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,53,47.75
VIC,218,Indi,4901,Narbethong,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,58,52.25
VIC,218,Indi,4085,Oxley,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,151,59.45
VIC,218,Indi,4085,Oxley,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,103,40.55
VIC,218,Indi,4352,Piries-Goughs Bay,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,67,38.51
VIC,218,Indi,4352,Piries-Goughs Bay,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,107,61.49
VIC,218,Indi,4086,Porepunkah,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,293,51.58
VIC,218,Indi,4086,Porepunkah,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,275,48.42
VIC,218,Indi,4074,Running Creek,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,49,46.67
VIC,218,Indi,4074,Running Creek,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,56,53.33
VIC,218,Indi,4088,Rutherglen,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,716,54.08
VIC,218,Indi,4088,Rutherglen,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,608,45.92
VIC,218,Indi,4090,Sandy Creek,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,109,41.76
VIC,218,Indi,4090,Sandy Creek,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,152,58.24
VIC,218,Indi,31615,Special Hospital Team 1,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,192,39.75
VIC,218,Indi,31615,Special Hospital Team 1,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,291,60.25
VIC,218,Indi,46639,Special Hospital Team 2,23288,McGOWAN,Cathy,2,Y,N,IND,Independent,107,43.67
VIC,218,Indi,46639,Special Hospital Team 2,23528,MIRABELLA,Sophie,4,N,Y,LP,Liberal,138,56.33
