id,ELECT_DIV,STATE,NUMCCDS,ACTUAL,PROJECTED,POPULATION,OVER_18,AREA_SQKM,SORTNAME,long_c,lat_c,x,y,radius
44,Hume,NSW,313,0,0,100,0,33636.84,Hume,149.044825552803,-34.4092276252371,149.044825552803,-34.4092276252371,0.06690128
45,Hunter,NSW,252,0,0,100,0,20110.63,Hunter,150.778042458342,-32.3748287250797,150.778042458342,-32.3748287250797,0.110331419086501
46,Kingsford Smith,NSW,274,0,0,100,0,126.967,Kingsford Smith,151.210535140672,-33.9589257589022,151.449040406279,-34.193352483352,0.110331419086501
47,Lindsay,NSW,213,0,0,100,0,339.058,Lindsay,150.710653161645,-33.7506322345292,150.461133284624,-33.7924229355342,0.110331419086501
48,Lyne,NSW,240,0,0,100,0,11991.2,Lyne,152.277408709202,-31.6021392904893,152.277408709202,-31.6021392904893,0.06690128
49,Macarthur,NSW,182,0,0,100,0,798.087,Macarthur,150.763514238192,-34.0646784496165,150.559945649917,-34.1976179768043,0.110331419086501
50,Mackellar,NSW,234,0,0,100,0,233.359,Mackellar,151.252517879282,-33.6691049030826,151.456451460679,-33.498752381788,0.110331419086501
51,Macquarie,NSW,248,0,0,100,0,4374,Macquarie,150.64163355052,-33.4750686299391,150.51577315175,-33.3500023410357,0.110331419086501
52,McMahon,NSW,192,0,0,100,0,160.556,McMahon,150.858616528122,-33.8370931022651,150.69141297104,-33.7563014207954,0.110331419086501
53,Mitchell,NSW,166,0,0,100,0,101.194,Mitchell,150.959792926635,-33.7099742137506,150.923316535802,-33.4955227902582,0.110331419086501
54,New England,NSW,367,0,0,100,0,59344.26,New England,151.315329532516,-30.3194247953617,151.315329532516,-30.3194247953617,0.06690128
55,Newcastle,NSW,264,0,0,100,0,354.435,Newcastle,151.753252341729,-32.8410141686529,151.753252341729,-32.8410141686529,0.110331419086501
56,North Sydney,NSW,273,0,0,100,0,47.7005,North Sydney,151.184028606897,-33.8163353656424,151.315942314446,-33.6912827596775,0.110331419086501
57,Page,NSW,281,0,0,100,0,16142.94,Page,152.803448214045,-29.2748481983547,152.803448214045,-29.2748481983547,0.06690128
58,Parkes,NSW,462,0,0,100,0,256643.17,Parkes,147.372784406271,-30.8871855908825,147.372784406271,-30.8871855908825,0.06690128
59,Parramatta,NSW,237,0,0,100,0,55.8604,Parramatta,151.010656403324,-33.8088532059154,150.907164251727,-33.7101953904721,0.110331419086501
60,Paterson,NSW,243,0,0,100,0,6652.01,Paterson,151.91743329349,-32.4068079544721,151.91743329349,-32.4068079544721,0.110331419086501
61,Reid,NSW,241,0,0,100,0,65.8119,Reid,151.084239854809,-33.8527971768148,151.098342904938,-33.821860331559,0.110331419086501
62,Richmond,NSW,245,0,0,100,0,2768.26,Richmond,153.36329015981,-28.5112593142775,153.359413528574,-28.5311280255068,0.132465744648129
63,Riverina,NSW,334,0,0,100,0,61435.48,Riverina,146.700152181571,-34.4272031934303,146.700152181571,-34.4272031934303,0.06690128
64,Robertson,NSW,257,0,0,100,0,978.219,Robertson,151.212516633566,-33.3821973005823,151.232489057666,-33.2007909709548,0.110331419086501
65,Shortland,NSW,219,0,0,100,0,205.02,Shortland,151.616626878684,-33.1121941272293,151.656698747971,-33.1444533017547,0.110331419086501
66,Sydney,NSW,310,0,0,100,0,91.2251,Sydney,151.215711681512,-33.8663541929927,151.460590939396,-33.858267593017,0.110331419086501
67,Throsby,NSW,224,0,0,100,0,1422.38,Throsby,150.552253067339,-34.5338463509922,150.552253067339,-34.5338463509922,0.06690128
68,Warringah,NSW,292,0,0,100,0,72.6744,Warringah,151.254185107077,-33.7931085665779,151.585511151458,-33.6775290712404,0.110331419086501
69,Watson,NSW,246,0,0,100,0,42.176,Watson,151.076635586817,-33.9079630168126,151.059138198723,-34.0370389744814,0.110331419086501
70,Wentworth,NSW,356,0,0,100,0,29.6311,Wentworth,151.253309468789,-33.8829667076659,151.637022552863,-33.9885253471291,0.110331419086501
71,Werriwa,NSW,188,0,0,100,0,158.502,Werriwa,150.84252906861,-33.9807625558688,150.763380870564,-34.1131950102047,0.110331419086501
72,Blair,QLD,233,0,0,100,0,6409.27,BLAIR,152.461774039333,-27.1151955730346,152.452684624052,-27.1109336056861,0.132465744648129
73,Bonner,QLD,216,0,0,100,0,360.061,BONNER,153.139813469834,-27.5042624588909,153.39859397927,-27.4441790398238,0.132465744648129
74,Bowman,QLD,199,0,0,100,0,537.113,BOWMAN,153.454370252244,-27.546411175702,153.6415162655,-27.5502715203368,0.132465744648129
75,Brisbane,QLD,305,0,0,100,0,58.2288,BRISBANE,153.028475956768,-27.4384328474707,152.937519293324,-27.3144780540478,0.132465744648129
76,Capricornia,QLD,302,0,0,100,0,91048.93,CAPRICORNIA,148.18115718631,-22.0502781844174,148.18115718631,-22.0502781844174,0.06690128
77,Dawson,QLD,291,0,0,100,0,14945.36,DAWSON,147.979305953839,-20.2009989287065,147.979305953839,-20.2009989287065,0.06690128
78,Dickson,QLD,192,0,0,100,0,722.476,DICKSON,152.847446176538,-27.2709936715612,152.689967377377,-27.2220884666503,0.132465744648129
79,Fadden,QLD,214,0,0,100,0,395.443,FADDEN,153.334836662086,-27.8160503560482,153.495836593638,-27.7723054947015,0.132465744648129
80,Fairfax,QLD,232,0,0,100,0,1035.95,FAIRFAX,152.887517928181,-26.585828097457,152.880425223794,-26.51205512632,0.132465744648129
81,Fisher,QLD,220,0,0,100,0,1169.88,FISHER,152.898824500799,-26.7887617614794,152.939978187809,-26.7686372258055,0.132465744648129
82,Flynn,QLD,342,0,0,100,0,133063.43,FLYNN,149.656972061614,-24.4954872728476,149.656972061614,-24.4954872728476,0.06690128
83,Forde,QLD,184,0,0,100,0,418.566,FORDE,153.180555375767,-27.7616911384873,153.230733744973,-27.7907590014589,0.132465744648129
84,Griffith,QLD,279,0,0,100,0,59.7682,GRIFFITH,153.061869701687,-27.4864847803213,153.14572672809,-27.4798776885852,0.132465744648129
85,Groom,QLD,251,0,0,100,0,5594.4,GROOM,151.653301973054,-27.4837598571593,151.653301973054,-27.4837598571593,0.132465744648129
86,Herbert,QLD,242,0,0,100,0,945.704,HERBERT,146.606509991024,-19.2672262998772,146.606509991024,-19.2672262998772,0.06690128
87,Hinkler,QLD,239,0,0,100,0,3503.92,HINKLER,152.383486566356,-25.1828043781042,152.383486566356,-25.1828043781042,0.06690128
88,Kennedy,QLD,410,0,0,100,0,568992.52,KENNEDY,142.09109815086,-19.6418258830488,142.09109815086,-19.6418258830488,0.06690128
89,Leichhardt,QLD,332,0,0,100,0,148988.08,LEICHHARDT,143.124866800473,-14.381829987529,143.124866800473,-14.381829987529,0.06690128
90,Lilley,QLD,254,0,0,100,0,147.285,LILLEY,153.071346244653,-27.3768787527486,153.240402126776,-27.2330556114029,0.132465744648129
91,Longman,QLD,192,0,0,100,0,1239.3,LONGMAN,152.86300598967,-27.0169104897835,152.787174699131,-26.9831976266344,0.132465744648129
92,Maranoa,QLD,428,0,0,100,0,731297.27,MARANOA,144.717587378104,-25.8068736402213,144.717587378104,-25.8068736402213,0.06690128
93,Mcpherson,QLD,237,0,0,100,0,229.732,MCPHERSON,153.398581533821,-28.1475597493764,153.414668425337,-28.2742369162457,0.132465744648129
94,Moncrieff,QLD,291,0,0,100,0,92.3257,MONCRIEFF,153.38459253924,-28.0083992672697,153.387263168264,-28.0107523971747,0.132465744648129
95,Moreton,QLD,237,0,0,100,0,110.871,MORETON,153.030591129955,-27.5639551152106,152.934206207473,-27.6401986951684,0.132465744648129
96,Oxley,QLD,193,0,0,100,0,155.349,OXLEY,152.932878748643,-27.6091000983543,152.696707132938,-27.7418513664505,0.132465744648129
97,Petrie,QLD,198,0,0,100,0,152.019,PETRIE,153.03867636713,-27.2462590582725,153.039780909825,-27.0600243387093,0.132465744648129
98,Rankin,QLD,225,0,0,100,0,131.15,RANKIN,153.094278392222,-27.6422204768115,152.988135801688,-27.8978516275835,0.132465744648129
99,Ryan,QLD,244,0,0,100,0,440.956,RYAN,152.851205753111,-27.4703016654316,152.697837920406,-27.4856741363535,0.132465744648129
100,Wide Bay,QLD,310,0,0,100,0,14572.62,WIDE BAY,152.482897600889,-25.9985086059893,152.482897600889,-25.9985086059893,0.06690128
101,Wright,QLD,250,0,0,100,0,7589.1,Wright,152.674021160342,-27.9171062922909,152.639380143596,-28.0005061756339,0.132465744648129
102,Aston,VIC,191,0,0,100,0,99.0122,Aston,145.251370627135,-37.8915960863162,145.431742261822,-37.94031375054,0.0950179894789588
103,Ballarat,VIC,274,0,0,100,0,4651.54,Ballarat,144.066137710432,-37.5155175172422,144.066137710432,-37.5155175172422,0.0950179894789588
104,Batman,VIC,265,0,0,100,0,65.6887,Batman,145.015908290538,-37.7333531299617,145.031282726271,-37.548585394979,0.0950179894789588
105,Bendigo,VIC,284,0,0,100,0,6255,Bendigo,144.329018027176,-36.9028262267745,144.329018027176,-36.9028262267745,0.06690128
106,Bruce,VIC,226,0,0,100,0,72.6115,Bruce,145.183782510345,-37.9274798971058,145.257517084427,-38.0178460938859,0.0950179894789588
107,Calwell,VIC,214,0,0,100,0,174.713,Calwell,144.87348664451,-37.6658597984408,144.735407199419,-37.4732831952186,0.0950179894789588
108,Casey,VIC,236,0,0,100,0,2337.34,Casey,145.713411582031,-37.7034999772761,145.713411582031,-37.7034999772761,0.0950179894789588
109,Chisholm,VIC,245,0,0,100,0,64.9781,Chisholm,145.124510744958,-37.862653887385,145.219051322083,-37.8319921695776,0.0950179894789588
110,Corangamite,VIC,264,0,0,100,0,7623.95,Corangamite,143.795279321809,-38.2469596248644,143.795279321809,-38.2469596248644,0.0950179894789588
111,Corio,VIC,250,0,0,100,0,989.448,Corio,144.423556233056,-38.029708771115,144.423556233056,-38.029708771115,0.0950179894789588
112,Deakin,VIC,240,0,0,100,0,69.8003,Deakin,145.218551447009,-37.8194483134627,145.391664428201,-37.7544772529984,0.0950179894789588
113,Dunkley,VIC,241,0,0,100,0,139.996,Dunkley,145.137971483137,-38.1701108817478,145.089961705054,-38.3407702462333,0.0950179894789588
114,Flinders,VIC,328,0,0,100,0,1952.09,Flinders,145.32454283608,-38.3375881279165,145.330308343934,-38.3450588843698,0.0950179894789588
115,Gellibrand,VIC,270,0,0,100,0,101.639,Gellibrand,144.840170702956,-37.83098444007,144.705342180613,-37.9269406722853,0.0950179894789588
116,Gippsland,VIC,286,0,0,100,0,33053.53,Gippsland,147.7707617121,-37.5802766378586,147.7707617121,-37.5802766378586,0.06690128
117,Goldstein,VIC,232,0,0,100,0,50.4044,Goldstein,145.021829310005,-37.932501875099,144.871267827164,-38.1971228881186,0.0950179894789588
118,Gorton,VIC,186,0,0,100,0,561.542,Gorton,144.63512669276,-37.6976812203809,144.537014248591,-37.6659147895876,0.0950179894789588
119,Higgins,VIC,279,0,0,100,0,39.868,Higgins,145.046365831701,-37.863271178065,145.047064610127,-37.9238995961971,0.0950179894789588
120,Holt,VIC,209,0,0,100,0,131.215,Holt,145.27690428825,-38.04332064205,145.399995384475,-38.1419496685848,0.0950179894789588
121,Hotham,VIC,221,0,0,100,0,75.0985,Hotham,145.100359501438,-37.9490135473449,145.041790438098,-38.1140447076779,0.0950179894789588
122,Indi,VIC,328,0,0,100,0,28567.01,Indi,146.634656492167,-36.7184082321362,146.634656492167,-36.7184082321362,0.06690128
123,Isaacs,VIC,224,0,0,100,0,165.892,Isaacs,145.17189451932,-38.0406949019996,145.212725775599,-38.1953015187451,0.0950179894789588
124,Jagajaga,VIC,238,0,0,100,0,127.916,Jagajaga,145.149013328706,-37.7168729879217,145.218069517947,-37.5397919707935,0.0950179894789588
125,Kooyong,VIC,253,0,0,100,0,52.395,Kooyong,145.061894290591,-37.8125267555776,145.063036114507,-37.7364252736084,0.0950179894789588
126,La Trobe,VIC,228,0,0,100,0,561.995,La Trobe,145.424773648199,-37.9729058201842,145.575637028864,-38.0623058686552,0.0950179894789588
127,Lalor,VIC,206,0,0,100,0,545.638,Lalor,144.61919252571,-37.8866324614427,144.525296013986,-37.864987493772,0.0950179894789588
128,Mallee,VIC,355,0,0,100,0,73878.68,Mallee,142.202900356136,-35.7746906777287,142.202900356136,-35.7746906777287,0.06690128
129,Maribyrnong,VIC,248,0,0,100,0,72.5144,Maribyrnong,144.861763818616,-37.7532456351222,144.712336565477,-37.7374855099716,0.0950179894789588
130,McEwen,VIC,207,0,0,100,0,4592.08,McEwen,144.969371308449,-37.2863273745028,144.944929165444,-37.2563631330868,0.0950179894789588
131,Mcmillan,VIC,278,0,0,100,0,8357.86,Mcmillan,146.057473056201,-38.2649926431302,146.057473056201,-38.2649926431302,0.06690128
132,Melbourne,VIC,344,0,0,100,0,46.3801,Melbourne,144.956507713936,-37.8017058943854,144.888440029333,-37.8091780507122,0.0950179894789588
