x  y  electorate
0 0 "Oxley"
1 0 "Moreton"
1 -1 "Rankin"
2 -1 "Bowman"
2 1 "Bonner"
0 1 "Ryan"
1 1 "Griffith"
0 2 "Brisbane"
1 2 "Lilley"
1 3 "Petrie"
0 3 "Dickson"
0 4 "Longman"
0 5 "Fisher"
0 6 "Fairfax"
0 7 "Wide Bay"
0 8 "Hinkler"
1 -2 "Forde"
2 -2 "Fadden"
2 -3 "Moncrieff"
2 -4 "McPherson"
0 -1 "Blair"
1 -3 "Wright"
-1 -2 "Groom"
-1 8 "Flynn"
-1  9 "Capricornia"
-2 10 "Dawson"
-2 11 "Herbert"
-5 11 "Kennedy"
-4 18 "Leichhardt"
-5 0 "Maranoa"

