2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:51 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,7011,Black Forest East,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,752,-3.3
SA,179,Adelaide,7011,Black Forest East,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,36,2.02
SA,179,Adelaide,7011,Black Forest East,23637,GARCIA,Carmen,4,N,N,LP,Liberal,738,5.28
SA,179,Adelaide,7011,Black Forest East,25001,LEE,Peter,5,N,N,FFP,Family First,27,-0.42
SA,179,Adelaide,7011,Black Forest East,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,201,-2.57
SA,179,Adelaide,7011,Black Forest East,999,Informal,Informal,999,N,N,,Informal,63,-0.95
SA,179,Adelaide,7008,Black Forest West,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,7,0.49
SA,179,Adelaide,7008,Black Forest West,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,367,-1.53
SA,179,Adelaide,7008,Black Forest West,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,26,3.28
SA,179,Adelaide,7008,Black Forest West,23637,GARCIA,Carmen,4,N,N,LP,Liberal,285,4.76
SA,179,Adelaide,7008,Black Forest West,25001,LEE,Peter,5,N,N,FFP,Family First,29,-0.73
SA,179,Adelaide,7008,Black Forest West,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,78,-5.24
SA,179,Adelaide,7008,Black Forest West,999,Informal,Informal,999,N,N,,Informal,33,-1.26
SA,179,Adelaide,6653,Blair Athol,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,7,-0.22
SA,179,Adelaide,6653,Blair Athol,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,416,6.06
SA,179,Adelaide,6653,Blair Athol,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,27,3.38
SA,179,Adelaide,6653,Blair Athol,23637,GARCIA,Carmen,4,N,N,LP,Liberal,284,0.64
SA,179,Adelaide,6653,Blair Athol,25001,LEE,Peter,5,N,N,FFP,Family First,18,-1.37
SA,179,Adelaide,6653,Blair Athol,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,48,-7.5
SA,179,Adelaide,6653,Blair Athol,999,Informal,Informal,999,N,N,,Informal,39,-3.07
SA,179,Adelaide,6654,Blair Athol North,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,18,0.36
SA,179,Adelaide,6654,Blair Athol North,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,602,1.1
SA,179,Adelaide,6654,Blair Athol North,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,32,3.33
SA,179,Adelaide,6654,Blair Athol North,23637,GARCIA,Carmen,4,N,N,LP,Liberal,225,0.01
SA,179,Adelaide,6654,Blair Athol North,25001,LEE,Peter,5,N,N,FFP,Family First,36,1.65
SA,179,Adelaide,6654,Blair Athol North,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,47,-4.28
SA,179,Adelaide,6654,Blair Athol North,999,Informal,Informal,999,N,N,,Informal,63,-2.13
SA,179,Adelaide,65592,BLV Adelaide PPVC,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,0,0
SA,179,Adelaide,65592,BLV Adelaide PPVC,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,12,46.15
SA,179,Adelaide,65592,BLV Adelaide PPVC,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,1,3.85
SA,179,Adelaide,65592,BLV Adelaide PPVC,23637,GARCIA,Carmen,4,N,N,LP,Liberal,11,42.31
SA,179,Adelaide,65592,BLV Adelaide PPVC,25001,LEE,Peter,5,N,N,FFP,Family First,0,0
SA,179,Adelaide,65592,BLV Adelaide PPVC,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,2,7.69
SA,179,Adelaide,65592,BLV Adelaide PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
SA,179,Adelaide,6655,Broadview,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,9,-0.08
SA,179,Adelaide,6655,Broadview,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,850,-3.65
SA,179,Adelaide,6655,Broadview,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,49,2.45
SA,179,Adelaide,6655,Broadview,23637,GARCIA,Carmen,4,N,N,LP,Liberal,897,4.43
SA,179,Adelaide,6655,Broadview,25001,LEE,Peter,5,N,N,FFP,Family First,41,-0.78
SA,179,Adelaide,6655,Broadview,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,156,-0.98
SA,179,Adelaide,6655,Broadview,999,Informal,Informal,999,N,N,,Informal,94,-0.98
SA,179,Adelaide,7049,Brompton,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,14,-0.99
SA,179,Adelaide,7049,Brompton,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,804,1.66
SA,179,Adelaide,7049,Brompton,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,46,2.97
SA,179,Adelaide,7049,Brompton,23637,GARCIA,Carmen,4,N,N,LP,Liberal,425,4.35
SA,179,Adelaide,7049,Brompton,25001,LEE,Peter,5,N,N,FFP,Family First,35,0.51
SA,179,Adelaide,7049,Brompton,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,227,-7.18
SA,179,Adelaide,7049,Brompton,999,Informal,Informal,999,N,N,,Informal,72,-1.31
