2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:58 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,32553,Brisbane City (Blair),23302,DEGUARA,Shannon,8,N,N,AIN,Australian Independents,2,6.9
QLD,304,Blair,32553,Brisbane City (Blair),999,Informal,Informal,999,N,N,,Informal,0,-7.41
QLD,304,Blair,6349,Bundamba,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,46,-1.89
QLD,304,Blair,6349,Bundamba,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,702,2.48
QLD,304,Blair,6349,Bundamba,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,47,3.33
QLD,304,Blair,6349,Bundamba,23677,MACKIN,Anthony,4,N,N,RUA,Rise Up Australia Party,4,0.28
QLD,304,Blair,6349,Bundamba,23799,HARDING,Teresa,5,N,N,LNP,Liberal National Party of Queensland,374,-4.13
QLD,304,Blair,6349,Bundamba,23402,STANTON,Anthony John,6,N,N,PUP,Palmer United Party,164,11.63
QLD,304,Blair,6349,Bundamba,23858,RUDKIN,Clare,7,N,N,GRN,The Greens,52,-8.91
QLD,304,Blair,6349,Bundamba,23302,DEGUARA,Shannon,8,N,N,AIN,Australian Independents,21,1.49
QLD,304,Blair,6349,Bundamba,999,Informal,Informal,999,N,N,,Informal,102,0.02
QLD,304,Blair,6350,Bundamba South,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,51,-3.77
QLD,304,Blair,6350,Bundamba South,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,921,0.64
QLD,304,Blair,6350,Bundamba South,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,46,2.45
QLD,304,Blair,6350,Bundamba South,23677,MACKIN,Anthony,4,N,N,RUA,Rise Up Australia Party,9,0.48
QLD,304,Blair,6350,Bundamba South,23799,HARDING,Teresa,5,N,N,LNP,Liberal National Party of Queensland,450,-2.93
QLD,304,Blair,6350,Bundamba South,23402,STANTON,Anthony John,6,N,N,PUP,Palmer United Party,281,14.94
QLD,304,Blair,6350,Bundamba South,23858,RUDKIN,Clare,7,N,N,GRN,The Greens,101,-8.02
QLD,304,Blair,6350,Bundamba South,23302,DEGUARA,Shannon,8,N,N,AIN,Australian Independents,22,1.17
QLD,304,Blair,6350,Bundamba South,999,Informal,Informal,999,N,N,,Informal,148,-0.23
QLD,304,Blair,6353,Churchill,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,50,-2.17
QLD,304,Blair,6353,Churchill,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,809,-0.2
QLD,304,Blair,6353,Churchill,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,49,2.7
