2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:17496 Phase:FinalResults Generated:2014-10-28T11:22:10 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,65510,BLV Aston PPVC,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,0,0
VIC,197,Aston,65510,BLV Aston PPVC,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,1,4.55
VIC,197,Aston,65510,BLV Aston PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
VIC,197,Aston,2948,Boronia,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,303,-5.21
VIC,197,Aston,2948,Boronia,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,9,1.06
VIC,197,Aston,2948,Boronia,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,74,-2.76
VIC,197,Aston,2948,Boronia,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,368,2.08
VIC,197,Aston,2948,Boronia,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,38,4.47
VIC,197,Aston,2948,Boronia,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,31,0.8
VIC,197,Aston,2948,Boronia,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,27,0.33
VIC,197,Aston,2948,Boronia,999,Informal,Informal,999,N,N,,Informal,42,-0.56
VIC,197,Aston,63158,Boronia ASTON PPVC,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,1359,-5.29
VIC,197,Aston,63158,Boronia ASTON PPVC,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,29,0.71
VIC,197,Aston,63158,Boronia ASTON PPVC,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,255,-5.06
