2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:49 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8295,Derby,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,31,-9.6
TAS,192,Bass,8295,Derby,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,18,-8.92
TAS,192,Bass,8295,Derby,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,0,0
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,13,7.45
TAS,192,Bass,8296,Dilston,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,5,0.74
TAS,192,Bass,8296,Dilston,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,365,13.04
TAS,192,Bass,8296,Dilston,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,52,7.73
TAS,192,Bass,8296,Dilston,24170,BERGMAN,Christine,4,N,N,FFP,Family First,7,1.04
TAS,192,Bass,8296,Dilston,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,170,-11.73
TAS,192,Bass,8296,Dilston,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,67,-10.09
TAS,192,Bass,8296,Dilston,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,7,1.04
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,N,N,,Informal,25,0.18
TAS,192,Bass,30183,Divisional Office (PREPOLL),24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,2,4.35
TAS,192,Bass,30183,Divisional Office (PREPOLL),23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,22,4.56
TAS,192,Bass,30183,Divisional Office (PREPOLL),23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,1,2.17
TAS,192,Bass,30183,Divisional Office (PREPOLL),24170,BERGMAN,Christine,4,N,N,FFP,Family First,2,4.35
TAS,192,Bass,30183,Divisional Office (PREPOLL),23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,17,-4.56
TAS,192,Bass,30183,Divisional Office (PREPOLL),23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,2,-10.85
TAS,192,Bass,30183,Divisional Office (PREPOLL),24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,0,0
TAS,192,Bass,30183,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,2,-0.3
TAS,192,Bass,8313,East Launceston,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,6,0.66
TAS,192,Bass,8313,East Launceston,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,436,4.24
TAS,192,Bass,8313,East Launceston,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,19,2.1
TAS,192,Bass,8313,East Launceston,24170,BERGMAN,Christine,4,N,N,FFP,Family First,8,0.89
TAS,192,Bass,8313,East Launceston,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,270,-4.87
TAS,192,Bass,8313,East Launceston,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,160,-2.92
TAS,192,Bass,8313,East Launceston,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,4,0.44
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,N,N,,Informal,22,0.01
TAS,192,Bass,8297,Elphin,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,11,1.55
TAS,192,Bass,8297,Elphin,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,365,6.93
TAS,192,Bass,8297,Elphin,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,23,3.24
TAS,192,Bass,8297,Elphin,24170,BERGMAN,Christine,4,N,N,FFP,Family First,21,2.96
TAS,192,Bass,8297,Elphin,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,213,-7.9
TAS,192,Bass,8297,Elphin,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,71,-6.64
TAS,192,Bass,8297,Elphin,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,5,0.71
TAS,192,Bass,8297,Elphin,999,Informal,Informal,999,N,N,,Informal,38,1.78
TAS,192,Bass,8314,Five Ways,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,13,1.09
TAS,192,Bass,8314,Five Ways,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,522,6.93
TAS,192,Bass,8314,Five Ways,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,77,6.45
TAS,192,Bass,8314,Five Ways,24170,BERGMAN,Christine,4,N,N,FFP,Family First,39,3.27
TAS,192,Bass,8314,Five Ways,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,432,-8.59
TAS,192,Bass,8314,Five Ways,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,103,-7.84
TAS,192,Bass,8314,Five Ways,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,7,0.59
TAS,192,Bass,8314,Five Ways,999,Informal,Informal,999,N,N,,Informal,57,-0.1
TAS,192,Bass,8300,General Hospital,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,14,1.91
TAS,192,Bass,8300,General Hospital,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,282,5.52
TAS,192,Bass,8300,General Hospital,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,29,3.96
TAS,192,Bass,8300,General Hospital,24170,BERGMAN,Christine,4,N,N,FFP,Family First,10,1.36
TAS,192,Bass,8300,General Hospital,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,263,-7.45
TAS,192,Bass,8300,General Hospital,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,127,-5.36
TAS,192,Bass,8300,General Hospital,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,8,1.09
TAS,192,Bass,8300,General Hospital,999,Informal,Informal,999,N,N,,Informal,28,-0.61
TAS,192,Bass,8301,George Town,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,19,1.18
TAS,192,Bass,8301,George Town,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,618,5.15
TAS,192,Bass,8301,George Town,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,133,8.29
TAS,192,Bass,8301,George Town,24170,BERGMAN,Christine,4,N,N,FFP,Family First,51,3.18
TAS,192,Bass,8301,George Town,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,705,-8.41
TAS,192,Bass,8301,George Town,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,71,-8.12
TAS,192,Bass,8301,George Town,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,8,0.5
TAS,192,Bass,8301,George Town,999,Informal,Informal,999,N,N,,Informal,89,0.17
TAS,192,Bass,8302,George Town South,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,13,1.36
TAS,192,Bass,8302,George Town South,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,377,6.27
TAS,192,Bass,8302,George Town South,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,81,8.46
TAS,192,Bass,8302,George Town South,24170,BERGMAN,Christine,4,N,N,FFP,Family First,28,2.93
TAS,192,Bass,8302,George Town South,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,417,-10.52
TAS,192,Bass,8302,George Town South,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,38,-7.67
TAS,192,Bass,8302,George Town South,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,3,0.31
TAS,192,Bass,8302,George Town South,999,Informal,Informal,999,N,N,,Informal,61,0.82
TAS,192,Bass,8303,Gladstone,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,1,0.64
