"long","lat","order","hole","piece","id","group"
141.002391,-33.31116,88,FALSE,"1","1","1.1"
141.002956,-34.02152,89,FALSE,"1","1","1.1"
138.681387,-35.007458,1,FALSE,"1","2","2.1"
138.664722,-35.036572,2,FALSE,"1","2","2.1"
138.625548,-35.034203,3,FALSE,"1","2","2.1"
138.61402,-35.047479,4,FALSE,"1","2","2.1"
138.626711,-35.074839,5,FALSE,"1","2","2.1"
138.595728,-35.088082,6,FALSE,"1","2","2.1"
138.573601,-35.05139,7,FALSE,"1","2","2.1"
138.504585,-35.058258,8,FALSE,"1","2","2.1"
138.517614,-35.03213,9,FALSE,"1","2","2.1"
138.510383,-34.997259,10,FALSE,"1","2","2.1"
138.574901,-34.992811,11,FALSE,"1","2","2.1"
138.572983,-34.967267,12,FALSE,"1","2","2.1"
138.644074,-34.963325,13,FALSE,"1","2","2.1"
138.671217,-34.9678,14,FALSE,"1","2","2.1"
138.681387,-35.007458,15,FALSE,"1","2","2.1"
141.002391,-33.31116,1,FALSE,"1","3","3.1"
140.374761,-33.311168,2,FALSE,"1","3","3.1"
140.37341,-34.004832,3,FALSE,"1","3","3.1"
140.216101,-34.005742,4,FALSE,"1","3","3.1"
140.216133,-34.016039,5,FALSE,"1","3","3.1"
140.215927,-33.945289,6,FALSE,"1","3","3.1"
139.857232,-33.943622,7,FALSE,"1","3","3.1"
139.857077,-33.875317,8,FALSE,"1","3","3.1"
139.699921,-33.875194,9,FALSE,"1","3","3.1"
139.699768,-33.800777,10,FALSE,"1","3","3.1"
139.355826,-33.803014,11,FALSE,"1","3","3.1"
139.350784,-34.319345,12,FALSE,"1","3","3.1"
139.26424,-34.319365,13,FALSE,"1","3","3.1"
139.264374,-34.295832,14,FALSE,"1","3","3.1"
139.155835,-34.3352,15,FALSE,"1","3","3.1"
139.105396,-34.330063,16,FALSE,"1","3","3.1"
139.127389,-34.315023,17,FALSE,"1","3","3.1"
139.033888,-34.306625,18,FALSE,"1","3","3.1"
139.049247,-34.245194,19,FALSE,"1","3","3.1"
138.978067,-34.254389,20,FALSE,"1","3","3.1"
138.96583,-34.201831,21,FALSE,"1","3","3.1"
138.975791,-34.183699,22,FALSE,"1","3","3.1"
138.961731,-34.175319,23,FALSE,"1","3","3.1"
