"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname"
1,"Canberra",489,138233,146643,0,0,1967.229702033,"Canberra"
2,"Fenner",440,131391,142251,0,0,458.5142833239,"Fenner"
